127.0.0.1 - - [27/Mar/2021:01:36:34 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:37:45 -0300] "GET /form_reclamacao/faces/alunos.xhtml HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:37:45 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:38:04 -0300] "GET /CRUD_escola/faces/alunos.xhtml HTTP/1.1" 500 6110
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:38:05 -0300] "GET /CRUD_escola/faces/alunos.xhtml HTTP/1.1" 500 6110
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:38:44 -0300] "GET /CRUD_escola/faces/alunos.xhtml HTTP/1.1" 500 6761
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:40:50 -0300] "GET /CRUD_escola/faces/alunos.xhtml HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:40:50 -0300] "GET /CRUD_escola/faces/javax.faces.resource/form.css;jsessionid=61FB9D7FC029D3B93408A3C69E313307?ln=css HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:41:00 -0300] "POST /CRUD_escola/faces/alunos.xhtml;jsessionid=61FB9D7FC029D3B93408A3C69E313307 HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:41:00 -0300] "GET /CRUD_escola/faces/javax.faces.resource/form.css?ln=css HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:41:03 -0300] "POST /CRUD_escola/faces/alunos.xhtml HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:41:09 -0300] "POST /CRUD_escola/faces/alunos.xhtml HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [27/Mar/2021:01:43:14 -0300] "GET /CRUD_escola/faces/alunos.xhtml HTTP/1.1" 200 3102
