127.0.0.1 - - [12/Apr/2021:09:10:49 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Apr/2021:09:11:02 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [12/Apr/2021:09:11:04 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Apr/2021:09:11:15 -0300] "POST /CRUD_levraria/faces/login.xhtml;jsessionid=B214F332DEEB881082526A58AE8B25DC HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [12/Apr/2021:09:11:17 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:05:27 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:05:31 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:05:40 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:05:51 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3080
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:06:17 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3080
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:06:21 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3080
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:06:37 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3080
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:06:52 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3080
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:07:22 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:07:23 -0300] "GET /CRUD_levraria/faces/javax.faces.resource/login.css?ln=css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:08:22 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3080
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:09:34 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3071
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:09:38 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 3071
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:10:50 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 2502
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:11:07 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 2502
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:11:11 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 2502
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:11:16 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 2502
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:11:33 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:12:03 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:12:34 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:15:09 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:15:14 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:58:58 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [12/Apr/2021:10:59:26 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 4434
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:02:01 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:02:14 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 4434
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:03:42 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:05:21 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:05:38 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 4434
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:07:42 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:07:47 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 4166
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:08:18 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:08:23 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 500 4086
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:11:23 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:11:28 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:14:33 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:14:39 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:14:39 -0300] "GET /CRUD_levraria/faces/hello.xhtml HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:21:44 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:21:45 -0300] "GET /CRUD_levraria/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 47372
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:27:06 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:27:07 -0300] "GET /CRUD_levraria/faces/javax.faces.resource/form.css?ln=css HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:29:32 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:30:37 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:32:54 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 500 3572
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:34:21 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:35:46 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:37:03 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:37:16 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:37:16 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:44:19 -0300] "GET /CRUD_levraria/faces/login.xhtml HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:44:31 -0300] "POST /CRUD_levraria/faces/login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:11:44:31 -0300] "GET /CRUD_levraria/faces/estoque.xhtml HTTP/1.1" 200 2237
